Location,motorised,non_motorised
13_Cam10_1,1.41441799,-1.629798744
13_Cam10_2,1.373735516,0.018373814
13_Cam10_3,-1.551867342,-0.732337827
13_Cam11_1,2.306756553,0.020392326
13_Cam11_2,1.490677698,-0.765845436
13_Cam11_3,-0.165264454,-0.739460529
13_Cam13_1,1.215633075,-0.783779116
13_Cam13_2,0.659910678,-0.815054039
13_Cam13_3,-1.640380928,1.042090558
13_Cam15_1,-1.731400365,-0.819097938
13_Cam15_2,1.041364437,0.980268817
13_Cam15_3,-2.557145975,-1.488596651
13_Cam16_1,-1.736879196,-0.825490374
13_Cam16_2,0.468900145,-0.020883533
13_Cam16_3,-0.148184706,-0.733121678
13_Cam17_1,0.290485303,-1.516615768
13_Cam17_2,4.84460057,1.704304628
13_Cam17_3,1.745354699,-0.786806229
13_Cam18_1,-2.626778753,-0.011855598
13_Cam18_2,-0.713022652,-1.525340773
13_Cam18_3,-1.459999865,-0.692746755
13_Cam19_1,-2.61852496,-1.522737233
13_Cam19_2,-1.888502386,1.02719335
13_Cam19_3,-0.600378472,0.042925216
13_Cam20_1,-1.670892659,-0.780266445
13_Cam20_2,-1.680567086,-0.815054039
13_Cam20_3,-2.324355504,0.473560501
13_Cam22_1,2.375969261,2.024914881
13_Cam22_2,-0.440539438,1.099704587
13_Cam22_3,0.157465166,-0.830582659
13_Cam23_1,1.677343924,-1.375712416
13_Cam23_2,-1.683734907,-0.818797132
13_Cam23_3,1.011222704,-0.776216952
13_Cam25_1,3.057055834,2.872681151
13_Cam25_2,2.271958383,2.985716227
13_Cam25_3,-1.527797686,-0.704366404
13_Cam26_1,3.657166769,-0.784654147
13_Cam26_2,1.204970826,-0.818797132
13_Cam26_3,1.244151845,-1.546036238
13_Cam27_1,0.582765737,-0.623619351
13_Cam27_2,-1.730554896,-0.806592964
13_Cam27_3,1.696723788,-1.485274361
13_Cam29_1,1.415954245,-0.782347043
13_Cam29_2,0.249962723,-0.814415756
13_Cam29_3,0.120111728,1.048101397
13_Cam30_1,0.262714084,1.985741431
13_Cam30_2,0.610133984,0.586692759
13_Cam30_3,-0.404960129,-0.799416459
13_Cam31_1,2.35582988,1.321233698
13_Cam31_2,2.122891095,0.027951075
13_Cam31_3,2.271235217,2.806155678
13_Cam32_1,-0.423143236,2.380864428
13_Cam32_2,0.469782405,-1.538809622
